[02:47:42] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1535 | Type=31070 | Level=120 | Size=14000
[02:47:42] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=31072 | Level=120 | Size=14000
[02:47:42] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1763 | Type=35153 | Level=120 | Size=14000
[02:47:42] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1090 | Type=32019 | Level=120 | Size=14000
[02:52:59] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1535 | Type=31070 | Level=120 | Size=14000
[02:52:59] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=31072 | Level=120 | Size=14000
[02:52:59] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1763 | Type=35153 | Level=120 | Size=14000
[02:52:59] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1090 | Type=32019 | Level=120 | Size=14000
[02:55:39] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1535 | Type=31070 | Level=120 | Size=14000
[02:55:39] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=31072 | Level=120 | Size=14000
[02:55:39] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1763 | Type=35153 | Level=120 | Size=14000
[02:55:39] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1090 | Type=32019 | Level=120 | Size=14000
[02:55:51] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1535 | Type=31070 | Level=120 | Size=14000
[02:55:51] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1185 | Type=31072 | Level=120 | Size=14000
[02:55:51] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1763 | Type=35153 | Level=120 | Size=14000
[02:55:51] [ATTR] [DEBUG_OUTPUT] GetDigimonBaseStatus → baseHP=1090 | Type=32019 | Level=120 | Size=14000
