[02:47:50] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:50] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:50] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DE, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=49, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AT, base=0, result=4840
